[2025-08-12T09:56:51.448Z] 🚀 Starting comprehensive App Store SPORTS app mapping...
[2025-08-12T09:56:51.450Z] 🍎 Target: Apple App Store apps in SPORTS category only
[2025-08-12T09:56:51.451Z] ⏰ Started at: 2025-08-12T09:56:51.448Z
[2025-08-12T09:56:51.453Z] 🍎 Starting comprehensive App Store SPORTS app collection...
[2025-08-12T09:56:51.453Z] 🌍 Searching across 1 countries: US
[2025-08-12T09:56:51.453Z] 
⏱️  TIME ESTIMATION:
[2025-08-12T10:03:15.204Z]       ✅ Added 26 new apps from "mixed martial arts" in US
[2025-08-12T10:03:16.012Z]     Searching: "judo" in US
[2025-08-12T10:03:16.727Z]       ✅ Added 116 new apps from "judo" in US
[2025-08-12T10:03:17.540Z]     Searching: "karate" in US
[2025-08-12T10:03:23.289Z]       ✅ Added 83 new apps from "karate" in US
[2025-08-12T10:03:24.099Z]     Searching: "taekwondo" in US
[2025-08-12T10:03:24.892Z]       ✅ Added 88 new apps from "taekwondo" in US
[2025-08-12T10:03:25.697Z]     Searching: "kickboxing" in US
[2025-08-12T10:03:26.414Z]       ✅ Added 67 new apps from "kickboxing" in US
[2025-08-12T10:03:27.226Z]     Searching: "sumo" in US
[2025-08-12T10:03:31.880Z]       ✅ Added 146 new apps from "sumo" in US
[2025-08-12T10:03:32.687Z]     Searching: "wrestling" in US
[2025-08-12T10:03:33.532Z]       ✅ Added 121 new apps from "wrestling" in US
[2025-08-12T10:03:34.335Z]     Searching: "kendo" in US
[2025-08-12T10:03:35.136Z]       ✅ Added 65 new apps from "kendo" in US
[2025-08-12T10:03:35.937Z]     Searching: "sambo" in US
[2025-08-12T10:03:36.490Z]       ✅ Added 26 new apps from "sambo" in US
[2025-08-12T10:03:37.294Z]     Searching: "krav maga" in US
[2025-08-12T10:03:37.966Z]       ✅ Added 45 new apps from "krav maga" in US
[2025-08-12T10:03:38.778Z]     Searching: "bjj" in US
[2025-08-12T10:03:39.416Z]       ✅ Added 52 new apps from "bjj" in US
[2025-08-12T10:03:40.228Z]     Searching: "brazilian jiu-jitsu" in US
[2025-08-12T10:03:40.884Z]       ✅ Added 48 new apps from "brazilian jiu-jitsu" in US
[2025-08-12T10:03:41.689Z]     Searching: "sports news" in US
[2025-08-12T10:03:42.529Z]       ✅ Added 167 new apps from "sports news" in US
[2025-08-12T10:03:43.332Z]     Searching: "sports scores" in US
[2025-08-12T10:03:44.160Z]       ✅ Added 104 new apps from "sports scores" in US
[2025-08-12T10:03:44.964Z]     Searching: "sports highlights" in US
[2025-08-12T10:03:45.820Z]       ✅ Added 97 new apps from "sports highlights" in US
[2025-08-12T10:03:46.636Z]     Searching: "sports live" in US
[2025-08-12T10:03:47.462Z]       ✅ Added 67 new apps from "sports live" in US
[2025-08-12T10:03:48.265Z]     Searching: "sports streaming" in US
[2025-08-12T10:03:49.066Z]       ✅ Added 92 new apps from "sports streaming" in US
[2025-08-12T10:03:49.868Z]     Searching: "fantasy sports" in US
[2025-08-12T10:03:50.606Z]       ✅ Added 85 new apps from "fantasy sports" in US
[2025-08-12T10:03:51.411Z]     Searching: "sports betting" in US
[2025-08-12T10:03:52.187Z]       ✅ Added 105 new apps from "sports betting" in US
[2025-08-12T10:03:53.001Z]     Searching: "sports odds" in US
[2025-08-12T10:03:59.108Z]       ✅ Added 55 new apps from "sports odds" in US
[2025-08-12T10:03:59.923Z]     Searching: "sports coach" in US
[2025-08-12T10:04:00.837Z]       ✅ Added 135 new apps from "sports coach" in US
[2025-08-12T10:04:01.651Z]     Searching: "sports training" in US
[2025-08-12T10:04:03.226Z]       ✅ Added 79 new apps from "sports training" in US
[2025-08-12T10:04:04.038Z]     Searching: "sports technique" in US
[2025-08-12T10:04:04.809Z]       ✅ Added 81 new apps from "sports technique" in US
[2025-08-12T10:04:05.614Z]     Searching: "sports drills" in US
[2025-08-12T10:04:06.352Z]       ✅ Added 49 new apps from "sports drills" in US
[2025-08-12T10:04:07.157Z]     Searching: "team management" in US
[2025-08-12T10:04:07.950Z]       ✅ Added 172 new apps from "team management" in US
[2025-08-12T10:04:08.751Z]     Searching: "sports league" in US
[2025-08-12T10:04:09.532Z]       ✅ Added 92 new apps from "sports league" in US
[2025-08-12T10:04:10.343Z]     Searching: "sports tournament" in US
[2025-08-12T10:04:11.245Z]       ✅ Added 103 new apps from "sports tournament" in US
[2025-08-12T10:04:12.045Z]     Searching: "sports registration" in US
[2025-08-12T10:04:12.804Z]       ✅ Added 102 new apps from "sports registration" in US
[2025-08-12T10:04:13.610Z]     Searching: "sports club" in US
[2025-08-12T10:04:14.474Z]       ✅ Added 132 new apps from "sports club" in US
[2025-08-12T10:04:15.280Z]     Searching: "sports academy" in US
[2025-08-12T10:04:16.051Z]       ✅ Added 93 new apps from "sports academy" in US
[2025-08-12T10:04:16.853Z]     Searching: "sports tryouts" in US
[2025-08-12T10:04:17.595Z]       ✅ Added 65 new apps from "sports tryouts" in US
[2025-08-12T10:04:18.404Z]     Searching: "sports recruiting" in US
[2025-08-12T10:04:19.220Z]       ✅ Added 81 new apps from "sports recruiting" in US
[2025-08-12T10:04:20.025Z]     Searching: "sports analytics" in US
[2025-08-12T10:04:20.778Z]       ✅ Added 97 new apps from "sports analytics" in US
[2025-08-12T10:04:21.584Z]     Searching: "sports statistics" in US
[2025-08-12T10:04:22.344Z]       ✅ Added 44 new apps from "sports statistics" in US
[2025-08-12T10:04:23.158Z]     Searching: "sports metrics" in US
[2025-08-12T10:04:23.934Z]       ✅ Added 47 new apps from "sports metrics" in US
[2025-08-12T10:04:24.742Z]     Searching: "sports AI" in US
[2025-08-12T10:04:25.912Z]       ✅ Added 47 new apps from "sports AI" in US
[2025-08-12T10:04:26.723Z]     Searching: "sports physio" in US
[2025-08-12T10:04:27.591Z]       ✅ Added 94 new apps from "sports physio" in US
[2025-08-12T10:04:28.394Z]     Searching: "sports rehab" in US
[2025-08-12T10:04:29.363Z]       ✅ Added 123 new apps from "sports rehab" in US
[2025-08-12T10:04:30.172Z]     Searching: "sports injury" in US
[2025-08-12T10:04:30.984Z]       ✅ Added 53 new apps from "sports injury" in US
[2025-08-12T10:04:31.798Z]     Searching: "sports medicine" in US
[2025-08-12T10:04:32.696Z]       ✅ Added 66 new apps from "sports medicine" in US
[2025-08-12T10:04:33.511Z]     Searching: "sports nutrition" in US
[2025-08-12T10:04:34.395Z]       ✅ Added 178 new apps from "sports nutrition" in US
[2025-08-12T10:04:35.199Z]     Searching: "sports diet" in US
[2025-08-12T10:04:40.127Z]       ✅ Added 123 new apps from "sports diet" in US
[2025-08-12T10:04:40.937Z]     Searching: "sports psychology" in US
[2025-08-12T10:04:42.414Z]       ✅ Added 132 new apps from "sports psychology" in US
[2025-08-12T10:04:43.240Z]     Searching: "sports tickets" in US
[2025-08-12T10:04:44.098Z]       ✅ Added 170 new apps from "sports tickets" in US
[2025-08-12T10:04:44.913Z]     Searching: "sports events" in US
[2025-08-12T10:04:45.703Z]       ✅ Added 74 new apps from "sports events" in US
[2025-08-12T10:04:46.507Z]     Searching: "sports events near me" in US
[2025-08-12T10:04:47.325Z]       ✅ Added 52 new apps from "sports events near me" in US
[2025-08-12T10:04:48.129Z]     Searching: "sports video analysis" in US
[2025-08-12T10:04:48.908Z]       ✅ Added 88 new apps from "sports video analysis" in US
[2025-08-12T10:04:49.719Z]     Searching: "sports replay" in US
[2025-08-12T10:04:50.796Z]       ✅ Added 45 new apps from "sports replay" in US
[2025-08-12T10:04:51.606Z]     Searching: "sports VR" in US
[2025-08-12T10:04:52.343Z]       ✅ Added 115 new apps from "sports VR" in US
[2025-08-12T10:04:53.148Z]     Searching: "sports AR" in US
[2025-08-12T10:04:53.965Z]       ✅ Added 109 new apps from "sports AR" in US
[2025-08-12T10:04:54.772Z]     Searching: "sports tracker" in US
[2025-08-12T10:04:55.714Z]       ✅ Added 63 new apps from "sports tracker" in US
[2025-08-12T10:04:56.517Z]     Searching: "sports GPS" in US
[2025-08-12T10:05:02.506Z]       ✅ Added 79 new apps from "sports GPS" in US
[2025-08-12T10:05:03.319Z]     Searching: "sports wearable" in US
[2025-08-12T10:05:04.235Z]       ✅ Added 71 new apps from "sports wearable" in US
[2025-08-12T10:05:05.049Z]     Searching: "sports watch" in US
[2025-08-12T10:05:06.094Z]       ✅ Added 68 new apps from "sports watch" in US
[2025-08-12T10:05:06.902Z]     Searching: "sports timer" in US
[2025-08-12T10:05:13.696Z]       ✅ Added 166 new apps from "sports timer" in US
[2025-08-12T10:05:14.502Z]     Searching: "sports sensor" in US
[2025-08-12T10:05:15.365Z]       ✅ Added 47 new apps from "sports sensor" in US
[2025-08-12T10:05:16.172Z]     Searching: "sports tech" in US
[2025-08-12T10:05:16.979Z]       ✅ Added 37 new apps from "sports tech" in US
[2025-08-12T10:05:17.793Z]     Searching: "sports performance" in US
[2025-08-12T10:05:18.561Z]       ✅ Added 79 new apps from "sports performance" in US
[2025-08-12T10:05:19.365Z]     Searching: "referee" in US
[2025-08-12T10:05:20.395Z]       ✅ Added 148 new apps from "referee" in US
[2025-08-12T10:05:21.206Z]     Searching: "scorekeeper" in US
[2025-08-12T10:05:22.015Z]       ✅ Added 150 new apps from "scorekeeper" in US
[2025-08-12T10:05:22.823Z]     Searching: "sports whistle" in US
[2025-08-12T10:05:23.783Z]       ✅ Added 94 new apps from "sports whistle" in US
[2025-08-12T10:05:24.586Z]     Searching: "youth sports" in US
[2025-08-12T10:05:25.350Z]       ✅ Added 43 new apps from "youth sports" in US
[2025-08-12T10:05:26.158Z]     Searching: "sports for kids" in US
[2025-08-12T10:05:27.039Z]       ✅ Added 52 new apps from "sports for kids" in US
[2025-08-12T10:05:27.854Z]     Searching: "sports camps" in US
[2025-08-12T10:05:28.665Z]       ✅ Added 75 new apps from "sports camps" in US
[2025-08-12T10:05:29.477Z]     Searching: "paralympic sports" in US
[2025-08-12T10:05:30.323Z]       ✅ Added 56 new apps from "paralympic sports" in US
[2025-08-12T10:05:31.130Z]     Searching: "adaptive sports" in US
[2025-08-12T10:05:31.905Z]       ✅ Added 17 new apps from "adaptive sports" in US
[2025-08-12T10:05:32.706Z]     Searching: "veteran sports" in US
[2025-08-12T10:05:33.463Z]       ✅ Added 29 new apps from "veteran sports" in US
[2025-08-12T10:05:34.265Z]     Searching: "esports" in US
[2025-08-12T10:05:35.141Z]       ✅ Added 73 new apps from "esports" in US
[2025-08-12T10:05:35.950Z]     Searching: "esports team" in US
[2025-08-12T10:05:36.862Z]       ✅ Added 61 new apps from "esports team" in US
[2025-08-12T10:05:37.668Z]     Searching: "esports tournament" in US
[2025-08-12T10:05:38.411Z]       ✅ Added 23 new apps from "esports tournament" in US
[2025-08-12T10:05:39.213Z]     Searching: "esports news" in US
[2025-08-12T10:05:40.074Z]       ✅ Added 72 new apps from "esports news" in US
[2025-08-12T10:05:40.877Z]     Searching: "esports scores" in US
[2025-08-12T10:05:41.784Z]       ✅ Added 23 new apps from "esports scores" in US
[2025-08-12T10:05:42.597Z]     Searching: "esports betting" in US
[2025-08-12T10:05:47.716Z]       ✅ Added 28 new apps from "esports betting" in US
[2025-08-12T10:05:48.530Z]     Searching: "esports stream" in US
[2025-08-12T10:05:49.485Z]       ✅ Added 27 new apps from "esports stream" in US
[2025-08-12T10:05:50.294Z] 
🎯 Total unique App Store sports apps collected: 25084
[2025-08-12T10:05:50.295Z] 
📊 APP STORE COLLECTION SUMMARY
[2025-08-12T10:05:50.297Z] ==================================================
[2025-08-12T10:05:50.311Z] Total Apps: 25084
[2025-08-12T10:05:50.311Z] 
By Category:
[2025-08-12T10:05:50.312Z]   SPORTS: 25084 apps
[2025-08-12T10:05:50.319Z] 
By Source Method:
[2025-08-12T10:05:50.320Z]   list: 670 apps
[2025-08-12T10:05:50.321Z]   search: 24414 apps
[2025-08-12T10:05:50.321Z] 
By Country (Top 10):
[2025-08-12T10:05:50.322Z]   US: 25084 apps
[2025-08-12T10:05:50.323Z] 
Free vs Paid:
[2025-08-12T10:05:50.326Z]   Free: 23500 apps
[2025-08-12T10:05:50.335Z]   Paid: 1584 apps
[2025-08-12T10:05:50.372Z] 
Top 10 Developers:
[2025-08-12T10:05:50.373Z]   1. Paul Scott: 80 apps
[2025-08-12T10:05:50.376Z]   2. Liping Liu: 72 apps
[2025-08-12T10:05:50.383Z]   3. OTT Software Solutions Limited: 60 apps
[2025-08-12T10:05:50.384Z]   4. Mobile Inventor Corp: 58 apps
[2025-08-12T10:05:50.385Z]   5. Sportsground: 57 apps
[2025-08-12T10:05:50.386Z]   6. Gannett: 55 apps
[2025-08-12T10:05:50.387Z]   7. NAOYA ONO: 50 apps
[2025-08-12T10:05:50.388Z]   8. CricClubs LLC: 48 apps
[2025-08-12T10:05:50.390Z]   9. Gallus Golf: 45 apps
[2025-08-12T10:05:50.393Z]   10. JADAYA INVERSIONES SOCIEDAD LIMITADA: 42 apps
[2025-08-12T10:05:50.871Z] 
📁 App Store JSON data exported to appstore_sports_fitness_apps_comprehensive_2025-08-12T10-05-50-400Z.json
[2025-08-12T10:05:51.085Z] 📊 App Store CSV data exported to appstore_sports_fitness_apps_comprehensive_2025-08-12T10-05-50-400Z.csv
[2025-08-12T10:05:51.086Z] 
✅ Comprehensive App Store sports app mapping completed!
[2025-08-12T10:05:51.088Z] 📄 Files created:
[2025-08-12T10:05:51.096Z]   - appstore_sports_fitness_apps_comprehensive_2025-08-12T10-05-50-400Z.json (for data analysis)
[2025-08-12T10:05:51.096Z]   - appstore_sports_fitness_apps_comprehensive_2025-08-12T10-05-50-400Z.csv (for Excel import)
[2025-08-12T10:05:51.097Z] 
🍎 Summary: Collected 25084 sports apps from Apple App Store
[2025-08-12T10:05:51.103Z] 
⏱️  ACTUAL TIME TAKEN:
[2025-08-12T10:05:51.104Z]    🏁 Finished at: 2025-08-12T10:05:51.103Z
[2025-08-12T10:05:51.114Z]    ⌛ Total duration: 0h 9m 0s (540 seconds)
[2025-08-12T10:05:51.117Z]    📊 Performance: 539654ms total
